   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.159            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.294            (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.798            (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    1.496                        (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   ***             *       -inf                                           *** *                                                                                                   
   203.50.13.86    1221    1.191            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.50.13.86    1221    1.191            (Sydney, New South Wales, AU, OC)                                                                                                     
   202.84.222.134  4637    146.548          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
╭─ 202.84.222.134  4637    146.548          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
S (4637)  
╰─ 202.84.141.25   4637    146.307             (San Jose, California, US, NA) i-20802.eqnx-core02.telstraglobal.net                                                               
   202.84.247.17   4637    145.622             (San Jose, California, US, NA) i-92.eqnx03.telstraglobal.net                                                                       
   134.159.61.78   4637    178.322             (San Jose, California, US, NA) pccw_global-peer.eqnx03.pr.telstraglobal.net                                                        
   63.223.43.114   3491    177.698                  (Los Angeles, CA, US, NA) TenGE0-1-0-15.br04.lax05.pccwbtn.net                                                                
   63.223.43.114   3491    177.698                  (Los Angeles, CA, US, NA) TenGE0-1-0-15.br04.lax05.pccwbtn.net                                                                
   63.218.212.242  3491    177.551           (El Segundo, California, US, NA) yomura.ge-0-0-0-10.br03.lax05.as3491.net                                                            
