   185.6.39.132    42953   0.0                        (Cork, Munster, IE, EU)                                                                                                     
   185.6.39.130    42953   1.054                      (Cork, Munster, IE, EU)                                                                                                     
   91.103.0.98     47720   0.731                      (Cork, Munster, IE, EU)                                                                                                     
╭─ 91.103.0.197    47720   1.228                      (Cork, Munster, IE, EU)                                                                                                     
S&T (47720, 3257)  geo-eirgrid ✘ || rockabill ✓ || esat-2 ✘ || sirius-south ✘ || exa-north-and-south ✘ || havhingstenceltixconnect-2-cc-2 ✘ || exa-express ✘ || pan-european-crossing-uk-ireland ✘ || esat-1 ✘ || solas ✓
╰─ 77.67.81.117    3257    9.906                    (London, England, GB, EU) ae15-1005.cr4-lon8.ip4.gtt.net                                                                      
   141.136.106.109 3257    10.233                       (London, ENG, GB, EU) ae0.cr13-lon1.ip4.gtt.net                                                                           
   212.221.80.242  3257    12.333                  (Stepney, England, GB, EU) ip4.gtt.net                                                                                         
   156.146.32.95   60068   12.661                   (Poplar, England, GB, EU)                                                                                                     
   103.170.154.254 142594  12.371                   (London, England, GB, EU) 254.154.170.103.speedyvps.uk                                                                        
