   166.0.65.4      396163  0.0                  (Seattle, Washington, US, NA)                                                                                                     
   166.0.65.3      396163  0.145                (Seattle, Washington, US, NA)                                                                                                     
   216.200.68.81   6461    0.408                (Seattle, Washington, US, NA) 0.xe-200-0-57.er1.sea3.us.zip.zayo.com                                                              
   ***             *       -inf                                           *** *                                                                                                   
   64.125.21.211   6461    4.056               (Maywood Park, Oregon, US, NA) ae24.mpr4.pdx1.us.zip.zayo.com                                                                      
   64.125.20.213   6461    3.874               (Maywood Park, Oregon, US, NA) ae13.mpr2.pdx1.us.zip.zayo.com                                                                      
╭─ 209.66.125.39   6461    4.443                (Seattle, Washington, US, NA) 209.66.125.39.ipyx-251348-zyo.zip.zayo.com                                                          
S (6461, 55850)  
╰─ 116.251.184.13  55850   131.729                    (Tauranga, BOP, NZ, OC) et-0-0-9.orb-p-2.as55850.net                                                                        
   116.251.184.34  55850   131.527                    (Tauranga, BOP, NZ, OC) et-0-0-17.atc-p-2.as55850.net                                                                       
   116.251.187.224 55850   131.517               (Auckland, Auckland, NZ, OC) ip-116-251-187-224.kinect.net.nz                                                                    
   116.251.187.225 55850   131.199               (Auckland, Auckland, NZ, OC) ip-116-251-187-225.kinect.net.nz                                                                    
   185.121.168.251 61138   131.645              (Newmarket, Auckland, NZ, OC) nz-akl-as61138.anchors.atlas.ripe.net                                                               
