   51.158.138.25   12876   0.0               (Haarlem, North Holland, NL, EU)                                                                                                     
   51.158.138.1    12876   0.718             (Haarlem, North Holland, NL, EU)                                                                                                     
   51.158.143.41   12876   1.013             (Haarlem, North Holland, NL, EU)                                                                                                     
   51.158.143.68   12876   0.678           (Amsterdam, North Holland, NL, EU)                                                                                                     
   51.158.8.171    12876   1.287          (Vijfhuizen, North Holland, NL, EU)                                                                                                     
╭─ 80.249.208.95   5413    1.933                       (Schiphol, NH, NL, EU) te1-3.cr01.nik.bb.gxn.net                                                                           
S&T (5413)  circe-north ✓ || ulysses-2 ✘ || scylla ✓ || zeus ✓ || concerto ✘ || farland-north ✓
╰─ 62.72.137.142   5413    8.727                         (None, None, GB, EU) *                                                                                                   
   195.66.248.33   5459    8.372                         (None, None, GB, EU) ge-0-0-8-border2-thn.linx.net                                                                       
   195.66.241.220  5459    8.318                    (London, England, GB, EU) ripe-anchor.linx.net                                                                                
