   185.221.36.2    48854   0.0           (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
   185.221.36.253  48854   0.352          (Stilling, Central Jutland, DK, EU)                                                                                                     
   212.237.248.14  48854   0.488          (Stilling, Central Jutland, DK, EU)                                                                                                     
   80.70.0.248     48854   0.36           (Stilling, Central Jutland, DK, EU)                                                                                                     
   93.167.247.106  3292    0.455          (Stilling, Central Jutland, DK, EU) cpe.et-3-3-0-100.sdnqe11.dk.customer.tdc.net                                                        
   93.167.247.105  3292    0.508          (Stilling, Central Jutland, DK, EU) et-3-3-0-100.sdnqe11.dk.ip.tdc.net                                                                  
   83.88.2.215     3292    0.48 (1.329)     (Stilling, Central Jutland, DK, EU) ae5-0.trgnqe10.dk.ip.tdc.net                                                                        
   62.242.1.166    3292    59.094                 (Nykobing Mors, 81, DK, EU) cpe.ge-3-3-3-114.trgnqe10.dk.customer.tdc.net                                                       
   217.28.166.213  3292    1.152             (Århus, Central Jutland, DK, EU)                                                                                                     
