   176.74.17.75    41000   0.0                  (Manchester, England, GB, EU) uk-mnc-as41000.anchors.atlas.ripe.net                                                               
   176.74.17.65    41000   1.45                    (Salford, England, GB, EU)                                                                                                     
   176.74.23.220   41000   0.692                   (Salford, England, GB, EU) 0.ae1.man1-csw1.uk.as41000.net                                                                      
   176.74.23.244   41000   1.231                   (Salford, England, GB, EU) 2.be2.man1-rt1.uk.as41000.net                                                                       
   176.74.23.246   41000   8.09                     (London, England, GB, EU) 8.be4.lon1-rt1.uk.as41000.net                                                                       
╭─ 195.66.226.201  34087   8.237                      (London, ENG, GB, None) *                                                                                                   
S&T (34087)  tampnet-offshore-foc-network ✘
╰─ 89.151.255.32   34087   38.713                        (Namsos, 50, NO, EU) 89.151.255.32.nteb.no                                                                               
   178.164.9.142   47753   38.041                     (Trondheim, 50, NO, EU) 178.164.9.142.3p.ntebredband.no                                                                     
   217.168.87.54   34087   45.963              (Trondheim, Trøndelag, NO, EU)                                                                                                     
