   197.189.194.147 37153   0.0                (Johannesburg, Gauteng, ZA, AF) atlas-anchor-jnb1.jnb.net.host-h.net                                                                
   197.189.194.145 37153   2.709              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   197.189.193.3   37153   0.294              (Johannesburg, Gauteng, ZA, AF) core-router2.jnb1.host-h.net                                                                        
╭─ 196.60.96.55    *       1.784              (Johannesburg, Gauteng, ZA, AF) jinx.liquid.tech                                                                                    
S&T (, 30844)  eastern-africa-submarine-system-eassy ✘ || seacomtata-tgn-eurasia ✘
╰─ 197.155.90.58   30844   61.781             (Nairobi, Nairobi Area, KE, AF) 197.155.90.58.liquidtelecom.net                                                                     
   197.155.94.8    30844   60.0                       (Nairobi, None, KE, AF) hu-0-2-0-2.lke-p1-nbi.liquidtelecom.net                                                             
   41.60.199.155   30844   59.495           (Nairobi, Nairobi County, KE, AF)                                                                                                     
   197.155.93.65   37578   59.448                       (Nairobi, 30, KE, AF) 197.155.93.65.liquidtelecom.net                                                                     
   196.6.220.42    37578   59.746           (Nairobi, Nairobi County, KE, AF)                                                                                                     
