   103.133.238.187 132808  0.0                 (Brisbane, Queensland, AU, OC) iptelco.com.au                                                                                      
   103.133.238.130 132808  0.261               (Brisbane, Queensland, AU, OC) vmnet-hsrp66.bdr01-bne-br1.iptelco.net.au                                                           
   103.133.238.14  132808  0.421               (Brisbane, Queensland, AU, OC) te0-0-0-402.bdr01-bne-br1.iptelco.net.au                                                            
   103.26.70.97    *       0.831               (Brisbane, Queensland, AU, OC) as4826.brisbane.megaport.com                                                                        
   103.1.77.184    9627    12.581                        (None, None, AU, OC) be203.lsr01.crek.qld.vocus.network                                                                  
   103.1.76.139    4826    12.466                        (None, None, AU, OC) be801.lsr01.dody.nsw.vocus.network                                                                  
   103.1.77.15     *       12.149           (Sydney, New South Wales, AU, OC) be201.cor03.syd11.nsw.vocus.network                                                                 
   114.31.192.71   4826    12.397           (Sydney, New South Wales, AU, OC) be1.bdr02.syd11.nsw.vocus.network                                                                   
   114.31.201.91   4826    12.172           (Sydney, New South Wales, AU, OC) 91.201.31.114.core.vocus.network                                                                    
