   45.11.104.146   57695   0.0                 (Hong Kong, Hong Kong, HK, AS) hk-hkg-as57695.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   45.11.104.7     57695   0.144                    (Hong Kong, None, HK, AS) po-07.lag.hkg12.hk.misaka.io                                                                        
   199.119.64.150  969     0.216               (Hong Kong, Hong Kong, HK, AS) po103-10.cr1a.eqhk2.hkg12.hk.917.as                                                                 
   185.229.189.198 60068   0.185               (Hong Kong, Hong Kong, HK, AS) p77-6.cr1a.eqhk2.hkg12.hk.917.as                                                                    
╭─ 119.27.63.34    *       33.565              (Hong Kong, Hong Kong, HK, AS) 7552.hkg.equinix.com                                                                                
S (, 7552)  
╰─ 27.68.250.105   7552    81.91                          (Hanoi, HN, VN, AS) localhost                                                                                           
   27.68.236.66    7552    77.005     (Ho Chi Minh City, Ho Chi Minh, VN, AS)                                                                                                     
   27.68.237.140   7552    80.817                         (Hanoi, HN, VN, AS) localhost                                                                                           
   210.86.233.30   24176   39.744     (Ho Chi Minh City, Ho Chi Minh, VN, AS) ci233-30.netnam.vn                                                                                  
   210.86.232.101  24173   39.128                         (Hanoi, HN, VN, AS) ci232-101.netnam.vn                                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   101.53.31.6     24173   41.568     (Ho Chi Minh City, Ho Chi Minh, VN, AS) ci53.31-6.netnam.vn                                                                                 
