   164.39.242.17   31655   0.0                  (Manchester, England, GB, EU)                                                                                                     
   164.39.242.16   31655   0.29              (Trafford Park, England, GB, EU)                                                                                                     
   164.39.255.9    31655   0.351             (Trafford Park, England, GB, EU)                                                                                                     
   195.50.119.97   3356    1.351             (Trafford Park, England, GB, EU) ae70-1000.edge2.manchesteruk2.level3.net                                                            
   171.75.8.35     3356    3.913 (6.333)               (London, England, GB, EU) ae2.3210.edge3.lon1.neo.colt.net                                                                    
╭─ 4.68.63.90      3292    3.587 (6.475)                  (London, None, GB, EU) tdcdenmark-level3-xe.london1.Level3.net                                                             
S&T (3292)  havhingstennorth-sea-connect-nsc ✓
╰─ 83.88.2.215     3292    24.85          (Stilling, Central Jutland, DK, EU) ae5-0.trgnqe10.dk.ip.tdc.net                                                                        
   62.242.1.166    3292    81.345                 (Nykobing Mors, 81, DK, EU) cpe.ge-3-3-3-114.trgnqe10.dk.customer.tdc.net                                                       
   217.28.166.213  3292    25.591            (Århus, Central Jutland, DK, EU)                                                                                                     
