   195.66.241.220  5459    0.0                      (London, England, GB, EU) ripe-anchor.linx.net                                                                                
   195.66.241.219  5459    0.37                     (Poplar, England, GB, EU) hsrp1.tr1-tr6.linx.net                                                                              
   195.66.243.21   5459    0.439                    (Poplar, England, GB, EU) et-0-0-0-border2-tch.linx.net                                                                       
   195.66.236.190  198722  0.55                       (London, ENG, GB, None) *                                                                                                   
   46.227.205.46   41495   0.517 (1.409)               (London, England, GB, EU) v4075.eth7.earhart.n.faelix.net                                                                     
   46.227.200.230  41495   7.52                 (Manchester, England, GB, EU) v0401.eth6.earhart.n.faelix.net                                                                     
   46.227.206.85   41495   7.841                (Manchester, England, GB, EU) core0100.bond160.gagarin.a.faelix.net                                                               
   46.227.206.42   41495   7.908                  (Didsbury, England, GB, EU) legacy.a.faelix.net                                                                                 
   46.227.202.97   41495   8.178                (Manchester, England, GB, EU) uk-mnc-as41495.anchors.atlas.ripe.net                                                               
