   150.164.1.222   271354  0.0         (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
   150.164.1.193   271354  0.402       (Belo Horizonte, Minas Gerais, BR, SA) chronos-labexternos.dcc.ufmg.br                                                                     
   150.164.1.129   271354  0.89        (Belo Horizonte, Minas Gerais, BR, SA) dccbdr.dcc.ufmg.br                                                                                  
   150.164.164.1   271354  0.86        (Belo Horizonte, Minas Gerais, BR, SA) isolado-gw-dcc.rede.ufmg.br                                                                         
   150.164.164.132 271354  0.836       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.42  271354  0.888       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   200.19.158.0    1916    0.777       (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1-gw.pop-mg.rnp.br                                                                         
   200.131.0.142   1916    0.759       (Belo Horizonte, Minas Gerais, BR, SA) ptp-almeirao-tropeiro.pop-mg.rnp.br                                                                 
   200.143.255.173 1916    0.882       (Belo Horizonte, Minas Gerais, BR, SA) cmg2-lanmg2.bkb.rnp.br                                                                              
   170.79.213.165  *       10.205      (Belo Horizonte, Minas Gerais, BR, SA) crj2-cmg2-wirelink.bkb.rnp.br                                                                       
   200.143.252.234 1916    10.193              (São Paulo, São Paulo, BR, SA) crj1-crj2.bkb.rnp.br                                                                                
╭─ 45.6.54.38      6939    11.498                (Rio de Janeiro, RJ, BR, SA) as6939.riodejaneiro.rj.ix.br                                                                        
S (6939)  south-america-1-sam-1 ✓ || brusa ✓ || america-movil-submarine-cable-system-1-amx-1 ✓ || globenet ©
╰─ 72.52.92.50     6939    109.583                 (Jacksonville, FL, US, NA) 100ge0-35.core2.jax1.he.net                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   184.104.197.54  6939    119.805                     (New York, NY, US, NA) 100ge0-79.core3.nyc4.he.net                                                                         
   216.66.23.18    6597    118.376                      (Atlanta, GA, US, NA) coloblox-llc.10gigabitethernet7-4.core1.atl1.he.net                                                 
   208.73.216.239  6597    119.78                       (Atlanta, GA, US, NA) 1-50.er20.ag2.atl1.coloblox.net                                                                     
   209.195.0.34    6597    119.027                 (Atlanta, Georgia, US, NA)                                                                                                     
