   194.50.88.164   39617   0.0             (Newark on Trent, England, GB, EU) uk-ldr-as39617.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.69.2.145     *       31.714                                         ***                                                                                                     
   10.69.3.69      *       29.673                                         ***                                                                                                     
   195.66.225.234  5607    36.353                     (London, ENG, GB, None) be1028.er16.thlon.isp.sky.com                                                                       
   90.223.193.1    5607    33.178                   (Poplar, England, GB, EU) uk-lon-as5607.anchors.atlas.ripe.net                                                                
