   152.195.88.35   15133   0.0                       (Miami, Florida, US, NA)                                                                                                     
   152.195.88.33   15133   1.553                     (Miami, Florida, US, NA)                                                                                                     
   129.250.194.53  2914    0.971                     (Miami, Florida, US, NA) ae-13.a02.miamfl02.us.bb.gin.ntt.net                                                                
   129.250.2.5     2914    3.382                     (Miami, Florida, US, NA) ae-0.r22.miamfl02.us.bb.gin.ntt.net                                                                 
   129.250.2.219   2914    28.705                        (None, None, US, NA) ae-8.sayonara-dorian.r20.dllstx14.us.bb.gin.ntt.net                                                 
   129.250.7.69    2914    62.04                         (None, None, US, NA) ae-2.sayonara-dorian.r24.lsanca07.us.bb.gin.ntt.net                                                 
   129.250.3.94    2914    61.141                        (None, None, US, NA) ae-0.sayonara-dorian.a03.lsanca20.us.bb.gin.ntt.net                                                 
   157.238.231.9   2914    62.079           (Los Angeles, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   192.189.157.25  64289   60.917           (Los Angeles, California, US, NA)                                                                                                     
