   197.80.104.36   10474   0.0                (Johannesburg, Gauteng, ZA, AF) 197-80-104-36.jhb.mweb.co.za                                                                        
   197.80.75.3     10474   1.287                  (Randburg, Gauteng, ZA, AF) 20.bu-ether1.vic-pe-12.optinet.net                                                                  
   197.80.7.2      10474   19.955                        (None, None, ZA, AF) tengig0-0-0-3.vic-p-2.mweb.co.za                                                                    
   197.84.4.64     10474   20.027           (Cape Town, Western Cape, ZA, AF) 197-84-4-64.cpt.mweb.co.za                                                                          
   197.84.7.60     10474   19.115             (Johannesburg, Gauteng, ZA, AF) 197-84-7-60.cpt.mweb.co.za                                                                          
   196.60.70.198   13335   20.439                   (Cape Town, 11, ZA, None) cloudflare.ixp.capetown                                                                             
   172.68.185.37   13335   19.979           (Cape Town, Western Cape, ZA, AF)                                                                                                     
   172.68.185.7    14017   20.174                     (Cape Town, WC, ZA, AF) *                                                                                                   
   172.68.185.22   13335   19.039           (Cape Town, Western Cape, ZA, AF)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
