   152.195.112.52  15133   0.0                         (Tokyo, Tokyo, JP, AS)                                                                                                     
   152.195.112.49  15133   0.823                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   152.195.112.205 15133   1.406                       (Tokyo, Tokyo, JP, AS)                                                                                                     
╭─ 202.84.148.69   4637    1.32                (Motoyoyogichō, Tokyo, JP, AS) unknown.telstraglobal.net                                                                           
S (4637)  apcn-2 👍 || eac-c2c 👍 || asia-pacific-gateway-apg ✓
╰─ 202.84.140.173  4637    74.482              (Singapore, Singapore, SG, AS) i-1055.sgcn-core01.telstraglobal.net                                                                
   202.84.140.173  4637    74.482              (Singapore, Singapore, SG, AS) i-1055.sgcn-core01.telstraglobal.net                                                                
   202.84.219.173  4637    83.81               (Singapore, Singapore, SG, AS) i-92.sggs01.telstraglobal.net                                                                       
   210.57.30.94    4637    73.304              (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   37.10.41.14     202196  73.707              (Singapore, Singapore, SG, AS)                                                                                                     
