   103.126.52.180  138466  0.0              (Sydney, New South Wales, AU, OC) as138466.anchors.atlas.ripe.net                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   103.126.52.193  138466  1.16             (Sydney, New South Wales, AU, OC) vl129-dp0s18-pauseq4sbdr5.datamossa.io                                                              
   103.126.52.194  138466  0.822            (Sydney, New South Wales, AU, OC) vl129-et0-pauseq4rbdr4.datamossa.io                                                                 
   103.126.52.173  9336    1.251                 (Upper Coomera, QLD, AU, OC) *                                                                                                   
   202.90.50.58    9336    1.17                  (Upper Coomera, QLD, AU, OC) et3-2.br-01.gbsw.nsw.spirit.net.au                                                                  
   203.153.18.98   38195   2.266            (Sydney, New South Wales, AU, OC) tengige0-0-0-9.bdr01-ipt-4edenpar-syd.au.superloop.com                                              
   103.200.13.68   38195   100.999                       (None, None, AU, OC) bundle-ether33.bdr02-ipt-4edenpar-syd.au.superloop.net.co                                           
╭─ 103.200.13.199  *       101.091          (Sydney, New South Wales, AU, OC)                                                                                                     
S (, 20473)  
╰─ 203.190.230.144 20473   101.491               (Tokyo / Narita, 12, JP, AS) 20473.tyo.equinix.com                                                                               
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.238.161.230 20473   101.524                      (Ōi, Saitama, JP, AS) 104.238.161.230.vultrusercontent.com                                                                
