   45.5.10.13      265695  0.0       (Concepción de La Vega, La Vega, DO, NA) anchor.eliascomunicaciones.com                                                                      
   45.5.10.9       265695  0.144     (Concepción de La Vega, La Vega, DO, NA) core-router.eliascomunicaciones.com                                                                 
   45.5.10.1       265695  0.497     (Concepción de La Vega, La Vega, DO, NA) man-router.eliascomunicaciones.com                                                                  
   200.125.170.248 269931  1.796     (Villa Bisonó, Santiago Province, DO, NA) internet-dedicado-248.wmservice.com.do                                                              
╭─ 200.125.168.41  269931  2.405     (Villa Bisonó, Santiago Province, DO, NA) fibra-hasta-la-casa-168-41.wmservice.com.do                                                         
S (269931, 21559)  
╰─ 199.116.62.86   21559   17.911                    (Miami, Florida, US, NA)                                                                                                     
   206.41.108.115  1299    22.883                        (None, None, US, NA) *                                                                                                   
   92.223.107.231  199610  18.168                         (Miami, FL, US, NA) *                                                                                                   
   109.230.214.3   199610  18.12                     (Miami, Florida, US, NA)                                                                                                     
