   94.24.115.154   15699   0.0                 (Barcelona, Catalonia, ES, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   94.24.115.146   15699   0.554     (Cerdanyola del Vallès, Catalonia, ES, EU)                                                                                                     
   185.11.200.65   15699   1.087     (Cerdanyola del Vallès, Catalonia, ES, EU)                                                                                                     
   185.11.200.18   15699   1.627                      (Barcelona, CT, ES, EU) *                                                                                                   
   212.36.70.125   15699   1.224     (Cerdanyola del Vallès, Catalonia, ES, EU) 3g-mpls-125.adam.es                                                                                 
   193.242.98.153  13335   1.636                         (None, None, ES, EU) cloudflare.02.catnix.net                                                                            
   172.68.92.75    13335   1.142               (Barcelona, Catalonia, ES, EU)                                                                                                     
   172.68.92.83    13335   1.287               (Barcelona, Catalonia, ES, EU)                                                                                                     
   172.68.92.72    13335   1.304     (Sant Cugat del Vallès, Catalonia, ES, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
