   152.195.68.35   15133   0.0              (New York City, New York, US, NA)                                                                                                     
   152.195.68.33   15133   0.971            (New York City, New York, US, NA)                                                                                                     
   128.241.1.13    2914    0.373            (New York City, New York, US, NA) ce-0-3-0.a02.nycmny17.us.bb.gin.ntt.net                                                             
   129.250.3.16    2914    1.213                         (None, None, US, NA) ae-5.sayonara-dorian.r24.lsanca07.us.bb.gin.ntt.net                                                 
   129.250.6.116   2914    11.401                        (None, None, US, NA) ae-3.sayonara-dorian.r25.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.37    2914    14.293                        (None, None, US, NA) ae-1.sayonara-dorian.r24.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.87    2914    30.39                         (None, None, US, NA) ae-1.sayonara-dorian.r23.miamfl02.us.bb.gin.ntt.net                                                 
   129.250.7.46    2914    35.059                    (Miami, Florida, US, NA) ae-1.a03.miamfl02.us.bb.gin.ntt.net                                                                 
   157.238.226.1   2914    30.716                    (Miami, Florida, US, NA) ce-2-3-1-1001.a03.miamfl02.us.ce.gin.ntt.net                                                        
   109.230.214.3   199610  30.742                    (Miami, Florida, US, NA)                                                                                                     
