   45.6.36.173     266152  0.0              (Campina Grande, Paraíba, BR, SA) 45.6.36.173.pjmfibra.com.br                                                                         
   45.6.36.61      266152  3.196            (Campina Grande, Paraíba, BR, SA) 45.6.36.61.pjmfibra.com.br                                                                          
   201.16.67.44    *       3.663            (Campina Grande, Paraíba, BR, SA)                                                                                                     
   201.16.2.5      *       14.214                   (Salvador, Bahia, BR, SA) ae20-0.core01.fla1.commcorp.net.br                                                                  
   45.184.144.166  37468   61.043                     (Fortaleza, CE, BR, SA) as37468.fortaleza.ce.ix.br                                                                          
╭─ 170.238.232.155 37468   129.102                       (None, None, BR, SA) *                                                                                                   
S (37468)  
╰─ 102.130.70.110  37468   122.261                   (Luanda, Luanda, AO, AF)                                                                                                     
   102.130.68.106  37468   123.454                       (None, None, AO, AF) *                                                                                                   
   102.130.66.11   37468   123.056                   (Luanda, Luanda, AO, AF)                                                                                                     
