   212.45.159.245  8816    0.0                      (Milan, Lombardy, IT, EU) it-mil-as8816.anchors.atlas.ripe.net                                                                
   212.45.159.246  8816    1.047                    (Milan, Lombardy, IT, EU) asr-luc1-gi7.metrolink.it                                                                           
   212.45.137.158  8816    0.921                    (Milan, Lombardy, IT, EU) asr-sal1-te25.metrolink.it                                                                          
   212.45.137.190  8816    1.201                    (Milan, Lombardy, IT, EU) br-mix-te12.metrolink.it                                                                            
   212.45.159.5    8816    1.271                         (Milan, 9, IT, None) br-see-fo21.metrolink.it                                                                            
   185.1.114.17    31034   1.293                         (Milan, 9, IT, None) aruba.minap.it                                                                                      
   62.149.185.168  31034   7.988                         (Arezzo, 52, IT, EU) cr1-be2-701.it1.aruba.it                                                                            
   62.149.185.27   31034   7.995                         (Arezzo, 52, IT, EU) cs1-02-vi3902.it1.aruba.it                                                                          
   31.14.143.132   31034   7.623                    (Arezzo, Tuscany, IT, EU) host132-143-14-31.serverdedicati.aruba.it                                                           
