   200.7.84.24     28000   0.0       (Montevideo, Montevideo Department, UY, SA) uy-mvd-as28000.anchors.atlas.ripe.net                                                               
   200.7.84.34     28000   0.766     (Montevideo, Montevideo Department, UY, SA) edgemvd01-bbone.lacnic.net.uy                                                                       
   200.40.98.28    6057    0.766 (5.762)(Montevideo, Montevideo Department, UY, SA)                                                                                                     
   179.31.62.94    6057    134.31    (Colonia del Sacramento, Colonia, UY, SA) brmlg1.pdp-be15.antel.net.uy                                                                        
╭─ 179.31.62.39    6057    133.597                       (None, None, UY, SA) crsan1.gru-ae1038.antel.net.uy                                                                      
LHL (6057)  tannat 👍 ↠ south-america-1-sam-1 ✓ || tannat 👍 ↠ monet 👍 || tannat 👍 ↠ seabras-1 ✓
╰─ 38.32.184.42    6057    143.483                     (Bensalem, PA, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   154.54.30.65    174     136.715                   (Washington, DC, US, NA) be3084.ccr42.dca01.atlas.cogentco.com                                                               
   154.54.90.74    174     141.697             (Cary, North Carolina, US, NA) be3204.rcr71.rdu02.atlas.cogentco.com                                                               
   154.24.54.174   174     143.736                       (Denver, CO, US, NA) te0-0-1-3.nr12.b006551-1.den01.atlas.cogentco.com                                                   
   38.32.212.75    174     141.594           (Durham, North Carolina, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.225.2.50    36236   142.942                       (Durham, NC, US, NA) 50.2.225.104.ptr.anycast.net                                                                        
   104.225.3.74    36236   141.806           (Durham, North Carolina, US, NA) 74.3.225.104.ptr.anycast.net                                                                        
