   37.10.40.14     202196  0.0                 (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   37.10.40.9      202196  0.492            (Tai Yuen Estate, Tai Po, HK, AS)                                                                                                     
   210.176.141.185 4637    1.535            (Tai Yuen Estate, Tai Po, HK, AS) unknown.telstraglobal.net                                                                           
╭─ 202.84.153.37   4637    2.519         (Sham Shui Po, Sham Shui Po, HK, AS)                                                                                                     
S (4637)  asia-america-gateway-aag-cable-system 👍
╰─ 202.84.140.2    4637    154.945             (San Jose, California, US, NA) i-10852.eqnx-core02.telstraglobal.net                                                               
   202.84.247.17   4637    154.045             (San Jose, California, US, NA) i-92.eqnx03.telstraglobal.net                                                                       
   206.223.117.65  14061   155.034                   (Secaucus, NJ, US, None) eqix-sv1.digitalocean.com                                                                           
   138.197.245.113 *       154.508             (San Jose, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   128.199.5.28    14061   154.758          (Santa Clara, California, US, NA) us-sjc-as14061.anchors.atlas.ripe.net                                                               
