   31.15.54.138    1257    0.0              (Linköping, Östergötland, SE, EU)                                                                                                     
   31.15.54.137    1257    0.195                (Slaka, Östergötland, SE, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   37.233.77.225   1257    1.273                (Slaka, Östergötland, SE, EU) host-37-233-76-225.ipv4.regusnet.com                                                                
   81.216.114.68   1257    1.137                (Slaka, Östergötland, SE, EU) lkg462-sn-1.eth-trunk4s2330106.tele2.net                                                            
   91.129.19.83    1257    5.732            (Linköping, Östergötland, SE, EU) lin3-sn-1.eth-trunk2.tele2.net                                                                      
   91.129.19.80    1257    5.704            (Linköping, Östergötland, SE, EU) lkg456-sn-1.eth-trunk2.tele2.net                                                                    
   91.129.19.78    1257    6.043            (Linköping, Östergötland, SE, EU) ch-lin-agg-1.bundle-ether6.tele2.net                                                                
   91.129.13.94    1257    5.934            (Linköping, Östergötland, SE, EU) nrk316-agg-1.bundle-ether2.tele2.net                                                                
   91.129.16.156   1257    5.767            (Linköping, Östergötland, SE, EU) avk-cagg-1.bundle-ether49.tele2.net                                                                 
   91.129.12.12    1257    5.683                         (None, None, SE, EU) ssol1-core-2.bundle-ether7.tele2.net                                                                
   91.129.14.130   1257    5.765               (Stockholm, Stockholm, SE, EU) inx-peer-1.ae2-unit0.tele2.net                                                                      
╭─ 83.255.245.147  1257    5.668               (Stockholm, Stockholm, SE, EU)                                                                                                     
S (1257, 9002)  bcs-east-west-interlink ✓ || nordbalt ✘
╰─ 87.245.232.241  9002    17.989                       (Vilnius, VL, LT, EU) ae2-5.RT.TIC.VNO.LT.retn.net                                                                        
   87.245.242.169  15440   18.275                       (Vilnius, VL, LT, EU) GW-Baltnetos.retn.net                                                                               
   213.197.128.66  15440   18.213                       (Vilnius, VL, LT, EU) web1.microlink.lt                                                                                   
   213.197.128.102 174     19.549                       (Vilnius, VL, LT, EU) ocean.data.lt                                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   86.38.3.141     15419   18.586                    (Kaunas, Kaunas, LT, EU) 141.3.38.86.static.telecentras.lt                                                                   
