   37.252.253.18   42473   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   37.252.253.17   42473   0.312                    (Palermo, Sicily, IT, EU) cr-01.0v-04-28.anx35.pmo.it.anexia-it.com                                                           
   37.235.5.33     42473   0.334                    (Palermo, Sicily, IT, EU)                                                                                                     
   185.1.46.4      *       0.435                    (Palermo, Sicily, IT, EU) seabone-decix-palermo-v6.seabone.net                                                                
   195.22.192.111  6762    21.352                         (Milan, 25, IT, EU) ae1.milano81.mil.seabone.net                                                                        
   195.22.192.111  6762    21.352                         (Milan, 25, IT, EU) ae1.milano81.mil.seabone.net                                                                        
   195.22.196.121  201333  20.047                         (Milan, 25, IT, EU) naquadria.milano81.mil.seabone.net                                                                  
   185.78.48.22    201333  20.349                   (Milan, Lombardy, IT, EU) ens1f4-920-r02.pia1.naquadria.net                                                                   
   185.78.48.244   201333  21.082                     (Parabiago, 25, IT, EU) lf01b5-vlan910.pia1.naquadria.net                                                                   
   185.78.49.100   201333  20.234          (Piacenza, Emilia-Romagna, IT, EU) it-pcz-as201333.anchors.atlas.ripe.net                                                              
