   45.6.36.173     266152  0.0              (Campina Grande, Paraíba, BR, SA) 45.6.36.173.pjmfibra.com.br                                                                         
   45.6.36.61      266152  2.848            (Campina Grande, Paraíba, BR, SA) 45.6.36.61.pjmfibra.com.br                                                                          
   201.16.67.44    *       3.418            (Campina Grande, Paraíba, BR, SA)                                                                                                     
   201.16.2.7      *       35.68                    (Salvador, Bahia, BR, SA) ae0-0.core01.bre2.commcorp.net.br                                                                   
   199.100.0.105   174     35.94                      (Sao Paulo, SP, BR, SA) hu0-2-0-0.rcr51.b070119-0.sao01.atlas.cogentco.com                                                  
╭─ 154.54.87.17    174     39.154                     (Sao Paulo, SP, BR, SA) be2013.ccr31.sao01.atlas.cogentco.com                                                               
S (174)  brazilian-festoon © ↠ america-movil-submarine-cable-system-1-amx-1 © || brazilian-festoon © ↠ south-america-1-sam-1 ✓ || brazilian-festoon © ↠ brusa ✓ || brazilian-festoon © ↠ globenet © || brazilian-festoon © ↠ monet © || brazilian-festoon © ↠ americas-ii ✓
╰─ 154.54.88.1     174     147.025                     (New York, NY, US, NA) be2531.ccr31.jfk10.atlas.cogentco.com                                                               
   66.28.4.181     174     149.325                     (New York, NY, US, NA) be3495.ccr41.jfk02.atlas.cogentco.com                                                               
   154.54.40.106   174     153.549                   (Washington, DC, US, NA) be2806.ccr41.dca01.atlas.cogentco.com                                                               
   154.54.88.230   174     155.752                     (Richmond, VA, US, NA) be2787.rcr01.ric01.atlas.cogentco.com                                                               
   154.24.27.74    174     157.661                     (Richmond, VA, US, NA) te0-0-2-0.nr11.b002102-0.ric01.atlas.cogentco.com                                                   
   38.140.19.58    53907   126.211                   (Washington, DC, US, NA) *                                                                                                   
   209.10.65.51    53907   129.802                (Ashburn, Virginia, US, NA)                                                                                                     
   209.10.80.171   30025   125.353                      (Fairfax, VA, US, NA) *                                                                                                   
   23.152.192.245  53698   129.762               (Richmond, Virginia, US, NA) us-rcd-as53698-client.anchors.atlas.ripe.net                                                        
