   103.202.216.76  59105   0.0                         (Chōfu, Tokyo, JP, AS)                                                                                                     
   103.202.216.73  59105   0.378                       (Tokyo, Tokyo, JP, AS) ge-2-1-0.pop03er03.bb.homenoc.ad.jp                                                                 
   103.48.31.180   59105   0.343                         (None, None, JP, AS) gi0-2-0.pop03cr01.bb.homenoc.ad.jp                                                                  
   103.48.31.63    59105   0.414                       (Tokyo, Tokyo, JP, AS) ge-0-0-8.pop03er01.bb.homenoc.ad.jp                                                                 
   203.190.230.72  13335   7.501                 (Tokyo / Narita, 12, JP, AS) 13335.tyo.equinix.com                                                                               
   103.22.201.29   13335   6.029                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   172.70.221.187  13335   5.569                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   172.70.221.237  13335   5.987                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   172.70.221.58   13335   5.826                          (Tokyo, 13, JP, AS) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
