   195.43.159.22   207788  0.0                           (Oslo, Oslo, NO, EU) anchors.as207788.net                                                                                
   195.43.159.17   207788  0.254                         (Oslo, Oslo, NO, EU)                                                                                                     
   31.169.48.100   50304   0.868                         (Oslo, Oslo, NO, EU)                                                                                                     
   62.115.47.198   1299    0.599                         (Oslo, Oslo, NO, EU) oso-b1-link.ip.twelve99.net                                                                         
╭─ 62.115.181.191  1299    6.999                         (Oslo, Oslo, NO, EU) lumen-ic-350627.ip.twelve99-cust.net                                                                
S&T (1299, 3356)  tampnet-offshore-foc-network ✘ || no-uk ©
╰─ 171.75.8.229    3356    21.851                   (London, England, GB, EU) ae1.3112.edge6.lon2.neo.colt.net                                                                    
   212.187.167.190 31655   21.484                      (London, None, GB, EU) GAMMA-TELEC.ear2.London2.Level3.net                                                                 
   164.39.242.16   31655   27.324            (Trafford Park, England, GB, EU)                                                                                                     
   164.39.242.17   31655   27.296               (Manchester, England, GB, EU)                                                                                                     
