   196.40.111.147  37153   0.0              (Cape Town, Western Cape, ZA, AF) atlas-anchor-cpt3.cpt.net.host-h.net                                                                
   196.40.111.145  37153   0.58 (12.878)       (Cape Town, Western Cape, ZA, AF)                                                                                                     
   196.40.108.2    37153   0.488            (Cape Town, Western Cape, ZA, AF)                                                                                                     
   41.66.132.177   37179   0.695            (Cape Town, Western Cape, ZA, AF) 41-66-132-177.customer-xe-0-0-2-wc-ro-dce-4.africainx.net                                           
   41.84.12.29     37179   0.963            (Cape Town, Western Cape, ZA, AF) core.100g-0-8-0-wc-ro-ter-pbr-1.za.africainx.net                                                    
   105.22.72.213   37100   0.753            (Cape Town, Western Cape, ZA, AF)                                                                                                     
╭─ 105.16.30.1     37100   141.372                    (Cape Town, WC, ZA, AF) ce-0-2-0-0.cr-01-cpt.za.seacomnet.com                                                               
S (37100)  
╰─ 105.16.12.98    37100   149.263   (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) ce-0-0-25.cr-01-mrs.fr.seacomnet.com                                                                
   105.16.32.8     37100   141.621                   (Marseille, PAC, FR, EU) xe-0-0-0-0.pp-01-mrs.fr.seacomnet.com                                                               
   37.49.236.19    2200    152.962                       (Paris, IDF, FR, EU) renater.par.franceix.net                                                                            
   193.51.177.239  2200    160.636                 (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    160.818                     (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    1815.931                  (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    160.608            (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    160.771   (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
