   45.94.14.204    208520  0.0                (Riyadh, Riyadh Region, SA, AS)                                                                                                     
   45.94.14.193    208520  0.273              (Riyadh, Riyadh Region, SA, AS)                                                                                                     
╭─ 212.138.250.7   8895    0.49               (Riyadh, Riyadh Region, SA, AS)                                                                                                     
S (8895, 3356)  seamewe-5 ✓ || asia-africa-europe-1-aae-1 ✓ || seamewe-4 ✓ || peace-cable ✘ || imewe ✓
╰─ 213.242.126.197 3356    69.571    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) et-7-0-17-3.edge4.marseille1.level3.net                                                             
   171.75.10.107   3356    79.195              (Paris, Île-de-France, FR, EU) ae1.3101.ear5.par1.neo.colt.net                                                                     
   213.19.201.110  3356    89.62               (Paris, Île-de-France, FR, EU) jaguar-netw.ear5.paris1.level3.net                                                                  
   78.153.231.100  30781   95.154              (Paris, Île-de-France, FR, EU) be13.cr03.par01.jaguar-network.net                                                                  
   31.172.233.209  204092  94.88                  (Saint-Cannat, PAC, FR, EU) cpe-et009419.cust.jaguar-network.net                                                                
   89.234.186.42   204092  95.106                  (Rennes, Brittany, FR, EU) hv03.cogent-rns.bb.grifon.fr                                                                        
   80.67.190.218   204092  95.295                  (Rennes, Brittany, FR, EU) ripe-anchor.grifon.fr                                                                               
