   185.221.36.2    48854   0.0           (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
   185.221.36.253  48854   0.346          (Stilling, Central Jutland, DK, EU)                                                                                                     
   212.237.248.18  48854   0.954          (Stilling, Central Jutland, DK, EU)                                                                                                     
   80.70.0.254     48854   0.405          (Stilling, Central Jutland, DK, EU)                                                                                                     
   93.167.247.106  3292    0.543          (Stilling, Central Jutland, DK, EU) cpe.et-3-3-0-100.sdnqe11.dk.customer.tdc.net                                                        
   93.167.247.105  3292    0.858          (Stilling, Central Jutland, DK, EU) et-3-3-0-100.sdnqe11.dk.ip.tdc.net                                                                  
   83.88.19.117    3292    3.47                          (None, None, DK, EU) ae0-0.alb2nqp8.dk.ip.tdc.net                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   46.30.208.70    51468   4.887           (Taastrup, Capital Region, DK, EU) ge-0-3-8-499.cr2-cph3.pub.network.one.com                                                           
   46.30.208.71    51468   4.996         (Copenhagen, Capital Region, DK, EU)                                                                                                     
