   200.7.84.24     28000   0.0       (Montevideo, Montevideo Department, UY, SA) uy-mvd-as28000.anchors.atlas.ripe.net                                                               
   200.7.84.34     28000   0.826     (Montevideo, Montevideo Department, UY, SA) edgemvd01-bbone.lacnic.net.uy                                                                       
   200.40.98.29    6057    2.16      (Montevideo, Montevideo Department, UY, SA)                                                                                                     
   179.31.62.75    6057    133.348   (Montevideo, Montevideo Department, UY, SA) brpa51.pdp-be10.antel.net.uy                                                                        
   179.31.62.41    6057    133.862   (Colonia del Sacramento, Colonia, UY, SA) crsan2.gru-ae1040.antel.net.uy                                                                      
╭─ 179.31.62.253   6057    135.052   (Colonia del Sacramento, Colonia, UY, SA) brdc62.iad-ae1002.antel.net.uy                                                                      
LHL (6057, 40068)  tannat 👍 ↠ south-america-1-sam-1 ✓ || tannat 👍 ↠ monet 👍 || tannat 👍 ↠ seabras-1 ✓
╰─ 206.126.236.189 40068   134.739                       (None, None, US, NA) eqix.dc3.ash.neovera.net                                                                            
   206.126.237.158 32425   134.478                       (None, None, US, NA) eqix-ix-dc6.pixelfactorydata.com                                                                    
   208.73.136.212  32425   137.157                      (Ashland, VA, US, NA) *                                                                                                   
   208.73.136.156  32425   137.386                      (Ashland, VA, US, NA) sw-pxf-mmr-n3k1.pxfactorydc.net                                                                     
   208.73.136.45   32425   135.265                      (Ashland, VA, US, NA) sw-pxf-t1-mng.v986.xe.pxfactorydc.net                                                               
   208.73.138.12   32425   134.969                (Ashland, Virginia, US, NA)                                                                                                     
