   185.233.100.99  198985  0.0         (Bordeaux, Nouvelle-Aquitaine, FR, EU) ripe-atlas.aquilenet.fr                                                                             
   185.233.100.124 198985  0.195          (Cenon, Nouvelle-Aquitaine, FR, EU) charon1.aquilenet.fr                                                                                
   149.6.44.17     174     0.93           (Cenon, Nouvelle-Aquitaine, FR, EU) gi0-0-1-1.nr11.b015544-0.bod01.atlas.cogentco.com                                                   
   154.25.0.73     174     0.999          (Cenon, Nouvelle-Aquitaine, FR, EU) te0-0-0-35.rcr71.bod01.atlas.cogentco.com                                                           
   130.117.3.53    15557   8.902                         (Paris, IDF, FR, EU) be3051.ccr42.par01.atlas.cogentco.com                                                               
╭─ 154.54.72.226   174     19.709                    (Marseille, PAC, FR, EU) be2780.ccr32.mrs02.atlas.cogentco.com                                                               
S&T (174)  
╰─ 154.54.36.225   174     24.722                    (Genoa, Liguria, IT, EU) be3217.rcr71.goa01.atlas.cogentco.com                                                               
   154.54.57.93    174     31.107                       (Rome, Lazio, IT, EU) be2749.rcr51.rom01.atlas.cogentco.com                                                               
   89.221.32.37    6762    39.556                          (Rome, 62, IT, EU) orakom.roma54.rom.seabone.net                                                                       
   77.39.128.6     199181  47.861                   (Battipaglia, 72, IT, EU) *                                                                                                   
   5.158.64.238    199181  49.773                   (Battipaglia, 72, IT, EU) *                                                                                                   
   5.158.64.189    199181  39.911             (Battipaglia, Campania, IT, EU)                                                                                                     
