   193.1.201.140   1213    0.0                   (Tallaght, Leinster, IE, EU) atlas-anchor.heanet.ie                                                                              
   193.1.201.138   1213    0.29                    (Dublin, Leinster, IE, EU) pw-spine1-vlan11.services.hea.net                                                                   
   87.44.56.177    1213    0.436                        (Dublin, L, IE, None) ae3.core1-pw.nn.hea.net                                                                             
╭─ 212.222.58.253  3257    0.512              (Palmerstown, Leinster, IE, EU) ae1-100.cr0-dub4.ip4.gtt.net                                                                        
S&T (3257)  geo-eirgrid ✘ || rockabill © || esat-2 ✘ || sirius-south ✘ || exa-north-and-south ✘ || havhingstenceltixconnect-2-cc-2 © || exa-express ✘ || pan-european-crossing-uk-ireland ✓ || esat-1 ✘ || solas ✓
╰─ 89.149.137.209  3257    9.902                        (London, ENG, GB, EU) ae35.cr1-lon1.ip4.gtt.net                                                                           
   154.14.154.110  3257    9.692                  (Shadwell, England, GB, EU) ip4.gtt.net                                                                                         
   185.180.186.62  60670   13.607               (Broadstone, England, GB, EU) 185-180-186-62.as60670.uk                                                                           
   37.143.136.249  196745  14.107                  (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  14.373                    (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
