   194.116.77.35   41364   0.0                      (Turin, Piedmont, IT, EU)                                                                                                     
   194.116.76.253  41364   0.973                  (Gerbido, Piedmont, IT, EU)                                                                                                     
   194.116.98.81   *       0.999                  (Gerbido, Piedmont, IT, EU) itgate-topix41364.topix.it                                                                          
   213.254.31.221  12779   2.902                          (Milan, 25, IT, EU) be1.Boogie.core.MIL.itgate.net                                                                      
   185.1.114.23    5602    2.647                         (Milan, 9, IT, None) kpnqwest.minap.it                                                                                   
   109.168.0.33    5602    3.026                           (Lodi, 25, IT, EU) cr2-tenge0-0-0-1-cal1.mil.kpnqwest.it                                                               
   109.168.0.21    5602    3.184                           (Lodi, 25, IT, EU) cr1-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   109.168.0.62    5602    2.576                           (Lodi, 25, IT, EU) er2-xe-0-0-0-0-cal4.mil.kpnqwest.it                                                                 
   94.141.0.138    5602    3.393                           (Rome, 62, IT, EU) cs1-xe-1-1-2-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    2.682                    (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
