   80.82.241.134   28792   0.0                      (London, England, GB, EU) 134-241-82-80.in-addr.pblin.net                                                                     
   80.82.241.133   28792   0.727                    (Oxford, England, GB, EU) 133-241-82-80.in-addr.pblin.net                                                                     
   80.82.243.126   28792   0.236                    (Witney, England, GB, EU) gi0-0-1.oxf-core-02.ip.pblin.net                                                                    
   80.82.243.121   28792   2.802                    (London, England, GB, EU) gi2-0-1.lon-core-01.ip.pblin.net                                                                    
╭─ 195.22.209.206  6762    3.078                    (Poplar, England, GB, EU) xe0-2-3.londra32.lon.seabone.net                                                                    
S&T (6762)  
╰─ 213.144.177.184 6762    32.032                          (Rome, 62, IT, EU) ae23.roma54.rom.seabone.net                                                                         
   213.144.177.184 6762    32.032                          (Rome, 62, IT, EU) ae23.roma54.rom.seabone.net                                                                         
   89.221.32.37    6762    37.319                          (Rome, 62, IT, EU) orakom.roma54.rom.seabone.net                                                                       
   77.39.128.6     199181  35.476                   (Battipaglia, 72, IT, EU) *                                                                                                   
   5.158.64.238    199181  37.421                   (Battipaglia, 72, IT, EU) *                                                                                                   
   5.158.64.189    199181  35.644             (Battipaglia, Campania, IT, EU)                                                                                                     
