   37.10.126.72    199610  0.0              (Los Angeles, California, US, NA)                                                                                                     
   37.10.126.65    199610  1.143            (Los Angeles, California, US, NA)                                                                                                     
   62.115.44.180   1299    1.369            (Los Angeles, California, US, NA) lax-b22-link.ip.twelve99.net                                                                        
   62.115.143.38   1299    1.579            (Los Angeles, California, US, NA) lax-b23-link.ip.twelve99.net                                                                        
   62.115.116.40   1299    7.565               (San Jose, California, US, NA) sjo-b23-link.ip.twelve99.net                                                                        
   62.115.132.153  1299    28.23                (Seattle, Washington, US, NA) sea-b1-link.ip.twelve99.net                                                                         
   62.115.166.37   1299    27.591               (Seattle, Washington, US, NA) datacamp-ic-383205.ip.twelve99-cust.net                                                             
   84.17.33.9      60068   29.663               (Seattle, Washington, US, NA) po77-3528.cr01.sea02.us.misaka.io                                                                   
   170.39.227.9    35487   30.517                       (Seattle, WA, US, NA) po-09.lag.sea02.us.misaka.io                                                                        
   170.39.227.194  917     32.648               (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
