   150.164.1.222   271354  0.0         (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
   150.164.1.193   271354  0.704       (Belo Horizonte, Minas Gerais, BR, SA) chronos-labexternos.dcc.ufmg.br                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   150.164.164.132 271354  0.863       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.42  271354  1.004       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   200.19.158.0    1916    0.89        (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1-gw.pop-mg.rnp.br                                                                         
   200.131.0.142   1916    0.889       (Belo Horizonte, Minas Gerais, BR, SA) ptp-almeirao-tropeiro.pop-mg.rnp.br                                                                 
   200.143.255.173 1916    1.267       (Belo Horizonte, Minas Gerais, BR, SA) cmg2-lanmg2.bkb.rnp.br                                                                              
   170.79.213.134  *       1.382       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   170.79.213.154  *       20.146      (Belo Horizonte, Minas Gerais, BR, SA) cba1-cmg1-100g-infobarra.bkb.rnp.br                                                                 
   170.79.213.31   1916    32.34                         (None, None, BR, SA) *                                                                                                   
   170.79.213.139  *       32.178    (Rio de Janeiro, Rio de Janeiro, BR, SA) cce2-cce1.bkb.rnp.br                                                                                
╭─ 200.0.204.216   27750   45.445              (São Paulo, São Paulo, BR, SA) rnp-for.redclara.net                                                                                
S (27750, 20965)  ellalink ✘
├─ 62.40.127.150   20965   106.384                       (Lisbon, 11, PT, EU) redclara.lis.pt.geant.net                                                                           
S&T (20965)  seamewe-3 ✘
╰─ 62.40.98.97     20965   115.523                        (Madrid, M, ES, EU) ae4.mx1.mad.es.geant.net                                                                            
   62.40.125.135   20965   115.696                   (Madrid, Madrid, ES, EU) rediris-gw.mx1.mad.es.geant.net                                                                     
   130.206.245.49  766     115.6                         (None, None, ES, EU) TELMAD.RT3.ETHTRUNK3.telmad.rt1.mad.red.rediris.es                                                  
   130.206.216.2   766     115.822                       (None, None, ES, EU) redimadrid-backup-router.red.rediris.es                                                             
   193.145.15.50   766     116.153                       (None, None, ES, EU) uc3m-rt-ju-01-xe-0-1-0.net.redimadrid.es                                                            
   ***             *       -inf                                           *** *                                                                                                   
   163.117.49.4    766     116.497                       (Madrid, MD, ES, EU) b01014zr.uc3m.es                                                                                    
   163.117.253.5   766     116.619                   (Madrid, Madrid, ES, EU)                                                                                                     
