   37.143.141.141  196745  0.0                       (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   37.143.136.253  196745  0.851               (Bournemouth, England, GB, EU)                                                                                                     
   193.251.248.53  5511    4.879                    (London, England, GB, EU)                                                                                                     
╭─ 4.68.73.153     3356    4.412                       (London, None, GB, EU) lag-19.ear1.London1.Level3.net                                                                      
S&T (3356)  
╰─ 171.75.9.108    3356    31.043                   (Milan, Lombardy, IT, EU) ae2.11.edge1.mln1.neo.colt.net                                                                      
   213.249.124.174 3356    31.816                   (Milan, Lombardy, IT, EU) irideos-s.p.edge1.milan1.level3.net                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   62.196.8.238    5602    31.0                  (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    31.666                          (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    31.036                          (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.142    5602    32.596                          (Rome, 62, IT, EU) cs2-xe-1-1-0-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    31.053                   (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
