   102.130.66.11   37468   0.0                       (Luanda, Luanda, AO, AF)                                                                                                     
   102.130.66.1    37468   0.378                     (Luanda, Luanda, AO, AF)                                                                                                     
   102.130.68.107  37468   1.872                     (Luanda, Luanda, AO, AF)                                                                                                     
   102.130.70.111  37468   2.046                     (Luanda, Luanda, AO, AF)                                                                                                     
╭─ 102.130.68.138  37468   36.267                        (None, None, AO, AF) *                                                                                                   
S&T (37468, )  
╰─ 196.60.71.41    *       36.218            (Rosebank, Western Cape, ZA, AF) 196-60-71-41.ixp.capetown                                                                           
   102.220.178.121 328829  36.251           (Cape Town, Western Cape, ZA, AF) rnd-br2-sfp28-1-862.vumatel.co.za                                                                   
   102.220.179.118 328829  36.553           (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.178.25  328829  36.863           (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
