   200.7.84.24     28000   0.0       (Montevideo, Montevideo Department, UY, SA) uy-mvd-as28000.anchors.atlas.ripe.net                                                               
   200.7.84.34     28000   4.479     (Montevideo, Montevideo Department, UY, SA) edgemvd01-bbone.lacnic.net.uy                                                                       
   200.40.98.28    6057    35.277    (Montevideo, Montevideo Department, UY, SA)                                                                                                     
   179.31.62.103   6057    15.273                        (None, None, UY, SA) crton1.eze-ae1003.antel.net.uy                                                                      
   179.31.62.67    6057    18.16                         (None, None, UY, SA) crton2.eze-ae1000.antel.net.uy                                                                      
╭─ 200.40.64.150   27988   15.958                        (None, None, UY, SA) r200-40-64-150.su-static.anteldata.net.uy                                                           
S&T (27988, 6057)  
╰─ 200.40.64.151   6057    18.528    (Buenos Aires, Buenos Aires F.D., AR, SA) r200-40-64-151.su-static.anteldata.net.uy                                                           
   ***             *       -inf                                           *** *                                                                                                   
   181.96.114.75   7303    34.986                        (Córdoba, X, AR, SA) host75.181-96-114.telecom.net.ar                                                                    
   181.96.113.135  7303    35.774                        (Córdoba, X, AR, SA) host135.181-96-113.telecom.net.ar                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   168.227.255.238 263777  59.691                        (Tostado, S, AR, SA) 168-227-255-238.ipv4.tostado.com.ar                                                                 
   138.204.7.245   263777  49.142                 (Tostado, Santa Fe, AR, SA) 138-204-7-245.ipv4.tostado.com.ar                                                                   
