   196.49.14.25    30997   0.0                 (Accra, Greater Accra, GH, AF)                                                                                                     
   196.49.14.1     30997   0.442               (Accra, Greater Accra, GH, AF)                                                                                                     
╭─ 197.221.70.89   *       1.24                (Accra, Greater Accra, GH, AF)                                                                                                     
S&T (, 3741)  
╰─ 196.14.240.4    3741    1.176                         (None, None, ZA, AF) *                                                                                                   
   168.209.160.87  3741    255.887                 (Richards Bay, NL, ZA, AF) *                                                                                                   
   168.209.160.86  3741    255.99             (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   168.209.1.179   3741    255.411                       (None, None, ZA, AF) pr2-pkl-ae1.ip.ddii.network                                                                         
   196.60.8.60     37468   84.24                  (Johannesburg, 6, ZA, None) angolacables.ixp.joburg                                                                             
   102.130.68.151  37468   84.156             (Johannesburg, Gauteng, ZA, AF)                                                                                                     
