   37.252.253.18   42473   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   37.252.253.17   42473   0.22                     (Palermo, Sicily, IT, EU) cr-01.0v-04-28.anx35.pmo.it.anexia-it.com                                                           
   213.144.186.81  6762    0.641                    (Palermo, Sicily, IT, EU)                                                                                                     
   149.3.183.60    6762    44.492                        (None, None, IT, EU) *                                                                                                   
   149.3.183.60    6762    44.492                        (None, None, IT, EU) *                                                                                                   
╭─ 195.22.209.207  6762    41.776                        (None, None, IT, EU) *                                                                                                   
S&T (6762, 28792)  
╰─ 80.82.243.120   28792   44.587                       (Witney, ENG, GB, EU) oxf-core-02.ip.pblin.net                                                                            
   80.82.243.127   28792   47.34                        (Witney, ENG, GB, EU) oxf-access-10.ip.pblin.net                                                                          
   80.82.241.134   28792   47.119                   (London, England, GB, EU) 134-241-82-80.in-addr.pblin.net                                                                     
