   37.46.78.66     15699   0.0            (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   37.46.78.65     15699   0.282          (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   37.46.78.25     15699   0.326          (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   87.236.216.225  15699   0.849          (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   87.236.216.218  15699   10.417                        (None, None, ES, EU) *                                                                                                   
   185.11.200.18   15699   10.241                     (Barcelona, CT, ES, EU) *                                                                                                   
╭─ 193.242.98.131  8426    9.894                         (None, None, ES, EU) claranet.02.catnix.net                                                                              
S&T (8426)  sat-3wasc ✓ || seamewe-3 ✓
╰─ 195.22.9.7      8426    38.867                     (Carnaxide, 11, PT, EU) tlx-ar1-0-0-0-23.router.pt.clara.net                                                                
   77.91.207.126   8426    38.605                        (None, None, PT, EU) not-assigned                                                                                        
   80.172.218.14   62416   59.953                        (None, None, PT, EU) core.rt13.lis1.ptservidor.net                                                                       
   185.222.11.4    62416   2031.438                  (Lisbon, Lisbon, PT, EU) core.bfsw1.lis1.ptservidor.net                                                                      
   185.32.189.249  62416   61.561                  (Odivelas, Lisbon, PT, EU) pt-lis-as62416.anchors.atlas.ripe.net                                                               
