   37.46.78.66     15699   0.0            (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   37.46.78.25     15699   0.504          (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   87.236.216.225  15699   0.922          (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
   87.236.216.218  15699   9.937                         (None, None, ES, EU) *                                                                                                   
   149.6.130.73    174     11.762              (Barcelona, Catalonia, ES, EU) te0-4-1-1.rcr21.bcn01.atlas.cogentco.com                                                            
   154.54.61.197   174     15.827                       (Valencia, V, ES, EU) be2421.ccr31.vlc02.atlas.cogentco.com                                                               
   154.54.57.241   174     20.1                           (Madrid, M, ES, EU) be3356.ccr32.mad05.atlas.cogentco.com                                                               
╭─ 154.54.61.133   174     24.432                        (Bilbao, PV, ES, EU) be2325.ccr32.bio02.atlas.cogentco.com                                                               
S (174)  marea ✓
╰─ 154.54.85.245   174     94.946                    (Washington, DC, US, NA) be2332.ccr42.dca01.atlas.cogentco.com                                                               
   154.54.81.218   174     104.037                   (Washington, DC, US, NA) be3310.agr21.dca01.atlas.cogentco.com                                                               
   154.24.64.182   174     104.392                   (Washington, DC, US, NA) te0-0-2-0.nr11.b005897-1.dca01.atlas.cogentco.com                                                   
   38.122.166.6    10886   95.03                        (Memphis, TN, US, NA) *                                                                                                   
   206.196.178.150 10886   95.189                  (Reston, Virginia, US, NA) us-xqm-as10886.anchors.atlas.ripe.net                                                               
