   5.199.167.27    216444  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   5.199.167.25    216444  0.283               (Singapore, Singapore, SG, AS)                                                                                                     
╭─ 8.245.2.161     3356    0.283 (1.426)          (Singapore, Singapore, SG, AS)                                                                                                     
S (3356)  asia-america-gateway-aag-cable-system ✓
╰─ 4.69.160.73     3356    157.63                       (Seattle, WA, US, NA) ae2.3613.edge1.Seattle3.level3.net                                                                  
   4.59.232.110    41095   157.899                      (Seattle, WA, US, NA) IPTRIPLEPLA.edge1.Seattle3.Level3.net                                                               
   91.194.117.168  41095   172.893                  (Los Angeles, CA, US, NA) 8-3.r0.102.1w.la.ca.us.iptp.net                                                                     
   98.158.103.225  21699   172.636                  (Los Angeles, CA, US, NA) 40g.la2.la1.coloexchange.com                                                                        
   149.20.160.25   21699   193.072                       (None, None, US, NA) *                                                                                                   
   149.20.162.6    21699   172.581          (Los Angeles, California, US, NA)                                                                                                     
