   104.167.241.3   398355  0.0                        (Spring, Texas, US, NA)                                                                                                     
   104.167.241.1   398355  0.373                      (Spring, Texas, US, NA) springtx.dataideas.com                                                                              
   ***             *       -inf                                           *** *                                                                                                   
   154.24.6.85     174     1.388                      (Spring, Texas, US, NA) te0-2-1-16.rcr51.iah04.atlas.cogentco.com                                                           
   154.54.85.65    174     2.485                     (Houston, Texas, US, NA) be3778.ccr42.iah01.atlas.cogentco.com                                                               
   154.54.44.230   174     7.095              (Dallas-Fort Worth, TX, US, NA) be2443.ccr32.dfw01.atlas.cogentco.com                                                               
   154.54.47.214   174     7.403              (Dallas-Fort Worth, TX, US, NA) be2764.ccr41.dfw03.atlas.cogentco.com                                                               
   151.139.52.3    12989   6.736                         (None, None, US, NA) *                                                                                                   
   151.139.52.5    12989   6.834                         (None, None, US, NA) *                                                                                                   
   151.139.52.113  33438   7.046                      (Dallas, Texas, US, NA)                                                                                                     
