   85.233.1.54     29505   0.0           (Lübeck, Schleswig-Holstein, DE, EU) de-lbc-as29505.anchors.atlas.ripe.net                                                               
   85.233.1.50     29505   0.369         (Lübeck, Schleswig-Holstein, DE, EU) svi9.rt-core-lbc-nls-01.net.glasfaser.swhl.de                                                       
   85.233.1.3      29505   0.334         (Lübeck, Schleswig-Holstein, DE, EU) et-0-0-1-0.rt-edge-lbc-sue-01.net.glasfaser.swhl.de                                                 
╭─ 80.81.196.174   *       7.474           (Frankfurt am Main, Hesse, DE, EU) xe-1-0-0.decix-fr-mx1.ip.fne.fi                                                                     
S (, 47605)  c-lion1 ✘
╰─ 87.236.154.31   47605   36.431                 (Helsinki, Uusimaa, FI, EU)                                                                                                     
   87.236.158.197  47605   37.378                        (None, None, FI, EU) *                                                                                                   
   87.236.154.213  47605   37.373                        (None, None, FI, EU) *                                                                                                   
   87.236.154.129  57692   37.578                        (None, None, FI, EU) *                                                                                                   
   91.232.156.247  57692   37.66                  (Helsinki, Uusimaa, FI, EU) fi-hel-as57692.anchors.atlas.ripe.net                                                               
