   37.46.126.117   51430   0.0                   (Dronten, Flevoland, NL, EU) 62o3vfbg58.playsinglearn.com                                                                        
   79.142.74.3     51430   0.623                 (Dronten, Flevoland, NL, EU) nld-net-ip.as51430.net                                                                              
   5.255.66.58     50673   0.578                 (Dronten, Flevoland, NL, EU)                                                                                                     
   185.8.179.34    12654   1.594                         (None, None, NL, EU) *                                                                                                   
╭─ 80.249.209.119  13101   1.857                      (Amsterdam, NH, NL, EU) AMS-IX.tng.de                                                                                       
T (13101)  
╰─ 213.178.65.148  13101   8.449                        (Hamburg, HH, DE, EU) ham8.tng.de                                                                                         
   213.178.65.155  13101   9.72            (Kiel, Schleswig-Holstein, DE, EU) kel2.tng.de                                                                                         
   82.97.188.1     13101   9.808                         (None, None, DE, EU) rtr1.gallifrey.tng.de                                                                               
   213.158.113.5   13101   9.843                   (Hamburg, Hamburg, DE, EU) ripe-anchor.gallifrey.tng.de                                                                        
