   80.67.190.218   204092  0.0                     (Rennes, Brittany, FR, EU) ripe-anchor.grifon.fr                                                                               
   ***             *       -inf                                           *** *                                                                                                   
   89.234.186.43   204092  0.704                         (None, None, FR, EU) eth1.33.asbr02.cogent-rns.grifon.fr                                                                 
   89.234.186.145  204092  8.335               (Paris, Île-de-France, FR, EU) eno1.201.asbr-th2.grifon.fr                                                                         
   193.200.43.84   34019   8.609               (Paris, Île-de-France, FR, EU) xe-201-0-33-204-er02-th2.bb.hivane.net                                                              
╭─ 193.164.153.211 34019   8.705               (Paris, Île-de-France, FR, EU) ge0-3-lns-th2.bb.hivane.net                                                                         
S&T (34019, 2611)  
╰─ 194.53.172.97   2611    15.45                    (Brussels, BRU, BE, None) bnix.bruzav.belnet.net                                                                              
   ***             *       -inf                                           *** *                                                                                                   
   193.191.18.10   2611    16.166                     (Brussels, BRU, BE, EU) ua.r1.antwil.belnet.net                                                                             
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   143.129.67.78   2611    17.27                         (None, None, BE, EU) *                                                                                                   
   143.129.80.132  2611    17.499               (Antwerpen, Flanders, BE, EU)                                                                                                     
