   103.170.232.152 142616  0.0                         (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
   ***             *       -inf                                           *** *                                                                                                   
   103.170.232.2   142616  0.312                       (Tokyo, Tokyo, JP, AS) spine1.nrt04.jp.misaka.io                                                                           
   199.119.64.136  969     0.307                       (Tokyo, Tokyo, JP, AS) e53-10.cr1a.eqty8.nrt4.jp.917.as                                                                    
   160.202.164.140 137409  0.277                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   206.148.24.36   7578    0.322                       (Tokyo, Tokyo, JP, AS) po50-3.ty-eqxty8-cr3.globalsecurelayer.com                                                          
   206.148.24.48   7578    0.415                       (Tokyo, Tokyo, JP, AS) po3.ty-eqxty8-bb5.globalsecurelayer.com                                                             
╭─ 206.148.24.50   7578    0.312                       (Tokyo, Tokyo, JP, AS) e52.ty-eqxty8-bb5.globalsecurelayer.com                                                             
S (7578)  japan-u-s-cable-network-jus ✘ || tata-tgn-pacific ✘ || pacific-crossing-1-pc-1 ✘ || faster ✘ || jupiter ✘
╰─ 206.148.25.85   7578    97.845           (Los Angeles, California, US, NA) e50.lax-csla2-bb1.globalsecurelayer.com                                                             
   206.148.25.90   7578    97.784           (Los Angeles, California, US, NA) e19.lax-csla2-bb5.globalsecurelayer.com                                                             
   206.148.25.7    7578    127.128              (Seattle, Washington, US, NA) e50.sea-drtsea10-bb1.globalsecurelayer.com                                                          
   ***             *       -inf                                           *** *                                                                                                   
   157.238.230.222 2914    127.215              (Seattle, Washington, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   129.250.2.241   2914    126.265                       (None, None, US, NA) ae-12.r23.sngpsi07.sg.bb.gin.ntt.net                                                                
   157.238.227.41  2914    126.637          (Foster City, California, US, NA) ae-0.digital-ocean.snjsca04.us.bb.gin.ntt.net                                                       
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   128.199.5.28    14061   126.868          (Santa Clara, California, US, NA) us-sjc-as14061.anchors.atlas.ripe.net                                                               
