   213.158.113.5   13101   0.0                     (Hamburg, Hamburg, DE, EU) ripe-anchor.gallifrey.tng.de                                                                        
   213.158.113.28  13101   0.265           (Kiel, Schleswig-Holstein, DE, EU)                                                                                                     
   82.97.188.3     13101   0.538           (Kiel, Schleswig-Holstein, DE, EU) kel1.tng.de                                                                                         
   213.178.75.134  13101   0.639           (Kiel, Schleswig-Holstein, DE, EU) kel1.tng.de                                                                                         
   213.178.80.33   13101   0.591 (2.855)              (Hamburg, Hamburg, DE, EU) ham1.tng.de                                                                                         
   213.178.80.65   13101   8.53               (Frankfurt am Main, HE, DE, EU) fra1.tng.de                                                                                         
   80.81.192.61    8220    8.907              (Frankfurt am Main, HE, DE, EU) Te0-0-0-0-pr1.FRA.router.colt.net                                                                   
╭─ 212.74.86.208   8220    27.314             (Frankfurt am Main, HE, DE, EU) te0-3-0-9-crs2.FRA.router.colt.net                                                                  
LHL (8220, 47720)  
╰─ 62.23.108.46    47720   33.257                       (Dublin, L, IE, None) host.46.108.23.62.rev.coltfrance.com                                                                
   91.103.0.196    47720   32.963                           (Cork, M, IE, EU) *                                                                                                   
   91.103.0.99     42953   33.912                           (Cork, M, IE, EU) *                                                                                                   
   185.6.39.132    42953   33.405                     (Cork, Munster, IE, EU)                                                                                                     
