   206.162.189.131 852     0.0                     (Montréal, Quebec, CA, NA) pcisrv.consultik.qc.ca                                                                              
   206.162.189.130 852     0.505                   (Montréal, Quebec, CA, NA) bureautique.consultik.com                                                                           
   154.11.6.202    852     0.347                   (Montréal, Quebec, CA, NA)                                                                                                     
   208.184.12.130  6461    0.711                   (Montréal, Quebec, CA, NA) zayo.ae20.mpr2.yul2.ca.zip.zayo.com                                                                 
   64.125.23.70    6461    8.206                        (Toronto, ON, CA, NA) ae4.mpr1.tor3.ca.zip.zayo.com                                                                       
   64.125.20.75    6461    28.737                (Winnipeg, Manitoba, CA, NA) ae20.mpr1.ywg2.ca.zip.zayo.com                                                                      
   64.125.22.216   6461    28.508                (Winnipeg, Manitoba, CA, NA) ae2.mpr1.ywg1.ca.zip.zayo.com                                                                       
   207.245.202.225 6461    28.42                 (Winnipeg, Manitoba, CA, NA)                                                                                                     
   205.236.99.242  400442  28.492                (Winnipeg, Manitoba, CA, NA)                                                                                                     
   23.133.168.197  400442  28.582                (Winnipeg, Manitoba, CA, NA)                                                                                                     
