   5.180.57.81     56987   0.0           (Lyon, Auvergne-Rhône-Alpes, FR, EU) fr-lio-as56987.anchors.atlas.ripe.net                                                               
   5.180.57.80     56987   0.206     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 80-57-180-5.rev.abaclouda.net                                                                       
   5.180.58.70     56987   0.267     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 01-xe.bgp03.lyn.abaclouda.net                                                                       
   213.248.78.142  1299    0.667     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) lyon-b1-link.ip.twelve99.net                                                                        
   62.115.115.234  1299    2.612 (4.573)(Marseille, Provence-Alpes-Côte d'Azur, FR, EU) mei-b5-link.ip.twelve99.net                                                                         
   62.115.124.53   1299    2.515 (4.558)(Marseille, Provence-Alpes-Côte d'Azur, FR, EU) mei-b4-link.ip.twelve99.net                                                                         
   80.239.134.85   1299    14.406    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) lumen-ic-357577.ip.twelve99-cust.net                                                                
   171.75.8.143    3356    16.675    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) ae1.11.bear1.par10.neo.colt.net                                                                     
   213.242.120.238 39534   25.237                       (Paris, None, FR, EU) LYRA-NETWOR.bear1.Paris10.Level3.net                                                                
   185.151.70.11   39534   25.418                 (Labège, Occitanie, FR, EU)                                                                                                     
