   152.195.206.35  15133   0.0                 (São Paulo, São Paulo, BR, SA)                                                                                                     
   152.195.206.33  15133   1.07                   (Osasco, São Paulo, BR, SA)                                                                                                     
╭─ 199.100.1.177   174     121.062                (Osasco, São Paulo, BR, SA) be7253.ccr31.sao01.atlas.cogentco.com                                                               
S (174)  
╰─ 154.54.88.1     174     121.06                      (New York, NY, US, NA) be2531.ccr31.jfk10.atlas.cogentco.com                                                               
   66.28.4.181     174     120.909                     (New York, NY, US, NA) be3495.ccr41.jfk02.atlas.cogentco.com                                                               
   154.54.84.202   174     121.079                     (New York, NY, US, NA) be2896.rcr23.jfk01.atlas.cogentco.com                                                               
   154.24.67.22    174     121.773                     (New York, NY, US, NA) be2239.nr51.b024352-0.jfk01.atlas.cogentco.com                                                      
   204.68.252.167  397031  120.983                       (None, None, US, NA) *                                                                                                   
   144.172.124.251 397031  133.472          (New York City, New York, US, NA)                                                                                                     
