   203.41.0.254    1221    0.0             (Perth, Western Australia, AU, OC) atlas-per.telstra.net                                                                               
   203.41.0.253    1221    0.291           (Perth, Western Australia, AU, OC)                                                                                                     
   138.217.126.78  1221    0.294           (Perth, Western Australia, AU, OC) tel4198820.lnk.telstra.net                                                                          
   138.217.126.77  1221    1.129           (Perth, Western Australia, AU, OC) bundle-ether801-219.pie-edge903.perth.telstra.net                                                   
   203.50.6.176    1221    0.92 (1.982)                     (Perth, WA, AU, OC) bundle-ether11.pie-core10.perth.telstra.net                                                         
   203.50.6.234    1221    29.858                      (Adelaide, SA, AU, OC) bundle-ether3.way-core10.adelaide.telstra.net                                                       
   203.50.6.231    1221    41.091                    (Melbourne, VIC, AU, OC) bundle-ether16.exi-core10.melbourne.telstra.net                                                     
   203.50.13.124   1221    40.781               (Melbourne, Victoria, AU, OC) bundle-ether2.cla-core30.melbourne.telstra.net                                                      
   203.50.13.132   1221    52.771           (Sydney, New South Wales, AU, OC) bundle-ether3.hay-core30.sydney.telstra.net                                                         
   203.50.11.173   1221    51.985                       (Sydney, NSW, AU, OC) bundle-ether1.ken-edge903.sydney.telstra.net                                                        
   144.130.164.246 1221    52.205           (Sydney, New South Wales, AU, OC) ovh2410229.lnk.telstra.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   72.251.0.10     16276   54.205           (Sydney, New South Wales, AU, OC)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   139.99.219.16   16276   52.197           (Sydney, New South Wales, AU, OC) au-syd-as16276.anchors.atlas.ripe.net                                                               
