   213.108.25.10   197564  0.0                      (Täby, Stockholm, SE, EU) ripe-atlas2.iis.se                                                                                  
   213.108.25.2    197564  1.159               (Stockholm, Stockholm, SE, EU) gw25-2.iis.se                                                                                       
   212.247.125.21  1257    0.741               (Stockholm, Stockholm, SE, EU) static-212-247-125-21.cust.tele2.se                                                                 
   91.129.16.138   1257    0.964               (Stockholm, Stockholm, SE, EU) ch-glo-cagg-1.bundle-ether4.tele2.net                                                               
   91.129.13.66    1257    0.975               (Stockholm, Stockholm, SE, EU) ssol1-core-2.bundle-ether11.tele2.net                                                               
   91.129.12.13    1257    0.978                         (None, None, SE, EU) avk-cagg-1.bundle-ether4.tele2.net                                                                  
   130.244.64.71   1257    0.565                         (None, None, SE, EU) avk6-peer-1.ae0-unit0.tele2.net                                                                     
   194.68.128.172  8674    0.997                    (Stockholm, 26, SE, None) vl15.ro1-stb.sth.netnod.se                                                                          
   77.72.228.64    8674    1.074                         (None, None, SE, EU) et50-1.ro1-stc.sth.netnod.se                                                                        
   185.42.136.158  8674    0.818               (Stockholm, Stockholm, SE, EU) se-sto-as8674.anchors.atlas.ripe.net                                                                
