   63.222.191.5    3491    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   63.222.191.1    3491    0.876            (Sydney, New South Wales, AU, OC)                                                                                                     
   63.218.156.90   3491    1.073                        (Sydney, NSW, AU, OC) Bundle-Ether40.br04.syd02.pccwbtn.net                                                               
╭─ 103.232.18.177  3257    0.5              (Sydney, New South Wales, AU, OC) ae5.cr2-syd1.ip4.gtt.net                                                                            
S (3257)  hawaiki ✘ || southern-cross-cable-network-sccn © || southern-cross-next ©
╰─ 89.149.139.222  3257    211.748                      (Seattle, WA, US, NA) ae19.cr5-sea2.ip4.gtt.net                                                                           
   209.120.139.250 60068   211.485                    (Hollywood, FL, US, NA) ip4.gtt.net                                                                                         
   84.17.33.9      60068   211.554              (Seattle, Washington, US, NA) po77-3528.cr01.sea02.us.misaka.io                                                                   
   170.39.227.9    35487   211.596                      (Seattle, WA, US, NA) po-09.lag.sea02.us.misaka.io                                                                        
   170.39.227.194  917     211.706              (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
