   150.164.1.222   271354  0.0         (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
   150.164.1.193   271354  0.711       (Belo Horizonte, Minas Gerais, BR, SA) chronos-labexternos.dcc.ufmg.br                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   150.164.164.132 271354  0.989       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.42  271354  0.916       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   200.19.158.0    1916    1.162       (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1-gw.pop-mg.rnp.br                                                                         
   200.131.0.142   1916    0.824       (Belo Horizonte, Minas Gerais, BR, SA) ptp-almeirao-tropeiro.pop-mg.rnp.br                                                                 
   200.143.255.173 1916    2.386       (Belo Horizonte, Minas Gerais, BR, SA) cmg2-lanmg2.bkb.rnp.br                                                                              
   170.79.213.134  *       1.294       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   170.79.213.154  *       20.092      (Belo Horizonte, Minas Gerais, BR, SA) cba1-cmg1-100g-infobarra.bkb.rnp.br                                                                 
   170.79.213.31   1916    32.242                        (None, None, BR, SA) *                                                                                                   
   170.79.213.139  *       32.056    (Rio de Janeiro, Rio de Janeiro, BR, SA) cce2-cce1.bkb.rnp.br                                                                                
╭─ 170.79.213.47   *       96.098      (Belo Horizonte, Minas Gerais, BR, SA) mia2-cce2-monet.bkb.rnp.br                                                                          
S (, 2914)  
╰─ 129.250.202.93  2914    124.67                      (New York, NY, US, NA) xe-0-0-26-2.sayonara-dorian.a01.miamfl02.us.bb.gin.ntt.net                                          
   129.250.7.47    2914    97.361                    (Miami, Florida, US, NA) ae-3.r23.miamfl02.us.bb.gin.ntt.net                                                                 
   129.250.2.86    2914    118.486                       (None, None, US, NA) ae-4.sayonara-dorian.r24.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.36    2914    119.03                        (None, None, US, NA) ae-0.sayonara-dorian.r25.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.6.117   2914    124.668                       (None, None, US, NA) ae-4.sayonara-dorian.r21.nwrknj03.us.bb.gin.ntt.net                                                 
   129.250.6.87    2914    124.749                       (None, None, US, NA) ae-2.sayonara-dorian.r00.nwrknj03.us.bb.gin.ntt.net                                                 
   128.241.12.86   20473   123.925                       (None, None, US, NA) ce-0-2-0-3.r00.nwrknj03.us.ce.gin.ntt.net                                                           
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   207.246.88.250  20473   123.976           (Piscataway, New Jersey, US, NA) 207.246.88.250.vultrusercontent.com                                                                 
