   213.108.25.10   197564  0.0                      (Täby, Stockholm, SE, EU) ripe-atlas2.iis.se                                                                                  
   213.108.25.2    197564  1.06                (Stockholm, Stockholm, SE, EU) gw25-2.iis.se                                                                                       
   212.247.125.21  1257    0.684               (Stockholm, Stockholm, SE, EU) static-212-247-125-21.cust.tele2.se                                                                 
   91.129.16.138   1257    1.091               (Stockholm, Stockholm, SE, EU) ch-glo-cagg-1.bundle-ether4.tele2.net                                                               
   91.129.13.66    1257    1.131               (Stockholm, Stockholm, SE, EU) ssol1-core-2.bundle-ether11.tele2.net                                                               
   91.129.14.130   1257    0.909               (Stockholm, Stockholm, SE, EU) inx-peer-1.ae2-unit0.tele2.net                                                                      
   130.244.200.5   1257    1.704               (Stockholm, Stockholm, SE, EU)                                                                                                     
   62.115.144.81   1299    1.367               (Stockholm, Stockholm, SE, EU) excedonetwork-ic-368710.ip.twelve99-cust.net                                                        
   193.180.242.94  199150  15.167                         (Solna, AB, SE, EU) *                                                                                                   
   193.180.242.86  199150  1.494                   (Solna, Stockholm, SE, EU)                                                                                                     
