   109.168.125.243 5602    0.0                      (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
   ***             *       -inf                                           *** *                                                                                                   
   94.141.0.137    5602    0.377                   (Figino, Lombardy, IT, EU) er2-xe-1-3-0-0-cal4.mil.kpnqwest.it                                                                 
   94.141.0.201    5602    0.477                   (Figino, Lombardy, IT, EU) er1-xe-0-0-3-0-cal4.mil.kpnqwest.it                                                                 
   109.168.0.22    5602    1.002                           (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal1.mil.kpnqwest.it                                                               
   109.168.0.166   5602    0.384                          (Milan, 25, IT, EU) br1-xe-0-1-0-0-cal1.mil.kpnqwest.it                                                                 
   62.196.8.245    3302    0.503                   (Figino, Lombardy, IT, EU)                                                                                                     
   37.32.106.65    *       8.356                    (Milan, Lombardy, IT, EU)                                                                                                     
╭─ 89.221.32.40    6762    11.646                       (Rome, Lazio, IT, EU) et0-0-33.roma54.rom.seabone.net                                                                     
S&T (6762)  
╰─ 213.144.176.141 6762    17.204    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU)                                                                                                     
   213.144.184.131 6762    17.088    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU)                                                                                                     
╭─ 105.16.33.2     37100   150.086                   (Marseille, PAC, FR, EU) ae-1.cr-02-mrs.fr.seacomnet.com                                                                     
S&T (37100)  
╰─ 105.25.160.165  37100   150.626          (Cape Town, Western Cape, ZA, AF) ce-0-1-9.cr-02-cpt.za.seacomnet.com                                                                 
   105.16.30.10    37100   150.166                    (Cape Town, WC, ZA, AF) xe-0-0-0-0.er-02-cpt.za.seacomnet.com                                                               
   105.22.72.214   37100   150.87           (Cape Town, Western Cape, ZA, AF)                                                                                                     
   41.84.12.28     37179   169.332                 (Johannesburg, GP, ZA, AF) core.100g-0-8-0-wc-ro-ter-scp-2.za.africainx.net                                                    
   41.84.12.169    37179   168.422                 (Johannesburg, GP, ZA, AF) core.xe-0-0-1-nl-am-eqx-dce-1.nl.africainx.net                                                      
   41.84.12.41     37179   168.856                 (Johannesburg, GP, ZA, AF) core.xe-0-0-1-gp-cn-r21-mee-1.za.africainx.net                                                      
   41.84.12.211    37179   174.777                 (Johannesburg, GP, ZA, AF) core-xge-0-2-0-gp-sm-het-scp-2.za.africainx.net                                                     
   ***             *       -inf                                           *** *                                                                                                   
   41.66.132.246   37153   167.163                 (Johannesburg, GP, ZA, AF) 41-66-132-246-f6.hetzner-jhb-ip4-gw.africainx.net                                                   
   197.189.193.1   37153   177.165                      (Sandton, GP, ZA, AF) core-access-switch1.jnb1.host-h.net                                                                 
   197.189.194.147 37153   174.684            (Johannesburg, Gauteng, ZA, AF) atlas-anchor-jnb1.jnb.net.host-h.net                                                                
