   103.225.148.27  45701   0.0                     (Jakarta, Jakarta, ID, AS) ip-27-148-225-103.globalxtreme.net                                                                  
   103.225.148.17  45701   0.484                   (Jakarta, Jakarta, ID, AS) ip-17-148-225-103.globalxtreme.net                                                                  
   202.58.202.35   *       18.931                  (Jakarta, Jakarta, ID, AS) ae-0-9-r1-jkt1.globalxtreme.net                                                                     
   202.58.202.252  *       18.907                  (Jakarta, Jakarta, ID, AS) ae-1-0-r2-jkt1.globalxtreme.net                                                                     
   119.11.184.28   10217   18.034                  (Jakarta, Jakarta, ID, AS)                                                                                                     
   117.20.51.61    23951   18.961                  (Jakarta, Jakarta, ID, AS) 117-20-51-61.as23951.net                                                                            
   202.152.153.211 23951   27.661                       (Babadan, JT, ID, AS) 202-152-153-211.as23951.net                                                                         
   202.152.153.9   23951   29.338                       (Babadan, JT, ID, AS) 202-152-153-9.as23951.net                                                                           
   202.152.129.74  23951   27.268            (Yogyakarta, Yogyakarta, ID, AS) 202-152-129-74.citra.net.id                                                                         
