   87.253.184.92   35258   0.0                     (Hamburg, Hamburg, DE, EU) de-ham-as35258.akqui.net                                                                            
   87.253.184.90   35258   0.349                   (Hamburg, Hamburg, DE, EU) ae-10-380.pe-fbrc3.ham02.de.akqui.net                                                               
   185.102.104.222 *       0.668                   (Hamburg, Hamburg, DE, EU) et-0-0-8.p-backbone1.ham02.de.akqui.net                                                             
   185.102.104.190 *       0.567                   (Hamburg, Hamburg, DE, EU) ae-2.p-backbone1.nor01.de.akqui.net                                                                 
   185.102.104.113 *       0.705                   (Hamburg, Hamburg, DE, EU) et-0-0-0.pe-irxc2.ham42.de.akqui.net                                                                
╭─ 80.81.193.119   51468   6.961              (Frankfurt am Main, HE, DE, EU) decix.cr1-fra1.net.one.com                                                                          
T (51468)  
╰─ 46.30.208.54    51468   33.598                    (Copenhagen, 84, DK, EU) xe-4-1-1-0.cr1-cph4.mpls.network.one.com                                                            
   46.30.208.70    51468   32.264          (Taastrup, Capital Region, DK, EU) ge-0-3-8-499.cr2-cph3.pub.network.one.com                                                           
   46.30.208.71    51468   32.458        (Copenhagen, Capital Region, DK, EU)                                                                                                     
